03/07-12:26:15.506681 ,"INFO TELNET access",172.16.115.20,23,202.77.162.213,49212
03/07-12:27:52.148770 ,"BAD-TRAFFIC loopback traffic",127.251.104.41,11353,131.84.1.31,9326
03/07-12:27:52.223006 ,"BAD-TRAFFIC loopback traffic",127.239.178.130,11872,131.84.1.31,24956
03/07-12:27:52.225938 ,"BAD-TRAFFIC loopback traffic",127.46.76.45,11914,131.84.1.31,23910
03/07-12:27:52.228393 ,"BAD-TRAFFIC loopback traffic",127.200.235.93,11949,131.84.1.31,11136
03/07-12:27:52.246630 ,"BAD-TRAFFIC loopback traffic",127.132.146.1,12016,131.84.1.31,10141
03/07-12:27:52.250124 ,"BAD-TRAFFIC loopback traffic",127.199.114.41,12055,131.84.1.31,3799
03/07-12:27:52.258074 ,"BAD-TRAFFIC loopback traffic",127.173.197.242,12149,131.84.1.31,19344
03/07-12:27:52.279977 ,"BAD-TRAFFIC loopback traffic",127.242.201.4,12283,131.84.1.31,13783
03/07-12:27:52.294550 ,"BAD-TRAFFIC loopback traffic",127.162.68.107,12339,131.84.1.31,29474
03/07-12:27:52.297784 ,"BAD-TRAFFIC loopback traffic",127.58.58.158,12384,131.84.1.31,6585
03/07-12:27:52.325064 ,"BAD-TRAFFIC loopback traffic",127.121.248.50,12548,131.84.1.31,26092
03/07-12:27:52.335985 ,"BAD-TRAFFIC loopback traffic",127.163.207.67,12658,131.84.1.31,16129
03/07-12:27:52.356325 ,"BAD-TRAFFIC loopback traffic",127.194.48.58,12793,131.84.1.31,31135
03/07-12:27:52.379468 ,"BAD-TRAFFIC loopback traffic",127.73.5.157,12910,131.84.1.31,27932
03/07-12:27:52.390562 ,"BAD-TRAFFIC loopback traffic",127.222.46.206,13015,131.84.1.31,26646
03/07-12:27:52.394740 ,"BAD-TRAFFIC loopback traffic",127.176.23.127,13042,131.84.1.31,327
03/07-12:27:52.395151 ,"BAD-TRAFFIC loopback traffic",127.246.172.20,13044,131.84.1.31,19410
03/07-12:27:52.428226 ,"BAD-TRAFFIC loopback traffic",127.124.163.220,13143,131.84.1.31,23688
03/07-12:27:52.456254 ,"BAD-TRAFFIC loopback traffic",127.70.121.88,13367,131.84.1.31,2331
03/07-12:27:52.476001 ,"BAD-TRAFFIC loopback traffic",127.126.232.50,13569,131.84.1.31,12975
03/07-12:27:52.510410 ,"BAD-TRAFFIC loopback traffic",127.39.226.157,13682,131.84.1.31,27247
03/07-12:27:52.512917 ,"BAD-TRAFFIC loopback traffic",127.196.247.163,13717,131.84.1.31,7304
03/07-12:27:52.535668 ,"BAD-TRAFFIC loopback traffic",127.93.87.245,13962,131.84.1.31,24210
03/07-12:27:52.563550 ,"BAD-TRAFFIC loopback traffic",127.146.131.2,14054,131.84.1.31,16815
03/07-12:27:52.563624 ,"BAD-TRAFFIC loopback traffic",127.209.192.254,14055,131.84.1.31,31176
03/07-12:27:52.567969 ,"BAD-TRAFFIC loopback traffic",127.147.17.4,14111,131.84.1.31,13069
03/07-12:27:52.573243 ,"BAD-TRAFFIC loopback traffic",127.255.137.73,14187,131.84.1.31,16197
03/07-12:27:52.575447 ,"BAD-TRAFFIC loopback traffic",127.37.0.104,14215,131.84.1.31,32677
03/07-12:27:52.576044 ,"BAD-TRAFFIC loopback traffic",127.36.137.177,14218,131.84.1.31,766
03/07-12:27:52.603241 ,"BAD-TRAFFIC loopback traffic",127.117.86.95,14397,131.84.1.31,22783
03/07-12:27:52.661775 ,"BAD-TRAFFIC loopback traffic",127.56.59.71,14604,131.84.1.31,32339
03/07-12:27:52.678133 ,"BAD-TRAFFIC loopback traffic",127.225.65.151,14834,131.84.1.31,7012
03/07-12:27:52.679798 ,"BAD-TRAFFIC loopback traffic",127.170.13.55,14859,131.84.1.31,2941
03/07-12:27:52.751519 ,"BAD-TRAFFIC loopback traffic",127.36.161.3,15235,131.84.1.31,706
03/07-12:27:52.758617 ,"BAD-TRAFFIC loopback traffic",127.29.227.152,15334,131.84.1.31,25083
03/07-12:27:52.795311 ,"BAD-TRAFFIC loopback traffic",127.159.196.122,15519,131.84.1.31,12310
03/07-12:27:52.801033 ,"BAD-TRAFFIC loopback traffic",127.28.176.147,15578,131.84.1.31,25021
03/07-12:27:52.838701 ,"BAD-TRAFFIC loopback traffic",127.32.2.12,15903,131.84.1.31,19247
03/07-12:27:52.841404 ,"BAD-TRAFFIC loopback traffic",127.74.118.57,15940,131.84.1.31,16904
03/07-12:27:52.869677 ,"BAD-TRAFFIC loopback traffic",127.137.249.48,16098,131.84.1.31,25020
03/07-12:27:52.879809 ,"BAD-TRAFFIC loopback traffic",127.9.41.102,16198,131.84.1.31,25699
03/07-12:27:52.893995 ,"BAD-TRAFFIC loopback traffic",127.210.47.130,16238,131.84.1.31,8508
03/07-12:27:52.897345 ,"BAD-TRAFFIC loopback traffic",127.138.253.236,16285,131.84.1.31,3070
03/07-12:27:52.940419 ,"BAD-TRAFFIC loopback traffic",127.174.185.10,16592,131.84.1.31,19981
03/07-12:27:52.954742 ,"BAD-TRAFFIC loopback traffic",127.25.81.85,16658,131.84.1.31,2467
03/07-12:27:53.001258 ,"BAD-TRAFFIC loopback traffic",127.120.203.199,16994,131.84.1.31,29123
03/07-12:27:53.016001 ,"BAD-TRAFFIC loopback traffic",127.251.21.74,17048,131.84.1.31,2205
03/07-12:27:53.021146 ,"BAD-TRAFFIC loopback traffic",127.26.57.119,17107,131.84.1.31,30722
03/07-12:27:53.021917 ,"BAD-TRAFFIC loopback traffic",127.108.35.16,17118,131.84.1.31,23652
03/07-12:27:53.062342 ,"BAD-TRAFFIC loopback traffic",127.85.80.227,17231,131.84.1.31,23770
03/07-12:27:53.067568 ,"BAD-TRAFFIC loopback traffic",127.192.161.239,17304,131.84.1.31,1608
03/07-12:27:53.073187 ,"BAD-TRAFFIC loopback traffic",127.131.174.109,17384,131.84.1.31,17197
03/07-12:27:53.081344 ,"BAD-TRAFFIC loopback traffic",127.239.238.27,17498,131.84.1.31,7667
03/07-12:27:53.169566 ,"BAD-TRAFFIC loopback traffic",127.17.140.53,17866,131.84.1.31,7584
03/07-12:27:53.172284 ,"BAD-TRAFFIC loopback traffic",127.235.170.134,17900,131.84.1.31,29204
03/07-12:27:53.215799 ,"BAD-TRAFFIC loopback traffic",127.49.226.212,18360,131.84.1.31,7848
03/07-12:27:53.216218 ,"BAD-TRAFFIC loopback traffic",127.89.85.1,18366,131.84.1.31,7796
03/07-12:27:53.238920 ,"BAD-TRAFFIC loopback traffic",127.19.105.226,18525,131.84.1.31,9939
03/07-12:27:53.285505 ,"BAD-TRAFFIC loopback traffic",127.208.99.175,18566,131.84.1.31,29151
03/07-12:27:53.286119 ,"BAD-TRAFFIC loopback traffic",127.11.162.236,18574,131.84.1.31,17276
03/07-12:27:53.291284 ,"BAD-TRAFFIC loopback traffic",127.64.47.105,18647,131.84.1.31,22138
03/07-12:27:53.291497 ,"BAD-TRAFFIC loopback traffic",127.217.253.12,18650,131.84.1.31,21893
03/07-12:27:53.293551 ,"BAD-TRAFFIC loopback traffic",127.213.104.194,18679,131.84.1.31,29457
03/07-12:27:53.298617 ,"BAD-TRAFFIC loopback traffic",127.233.163.95,18724,131.84.1.31,26535
03/07-12:27:53.343743 ,"BAD-TRAFFIC loopback traffic",127.140.92.160,19206,131.84.1.31,32283
03/07-12:27:53.365037 ,"BAD-TRAFFIC loopback traffic",127.123.238.178,19342,131.84.1.31,30270
03/07-12:27:53.372451 ,"BAD-TRAFFIC loopback traffic",127.35.184.38,19390,131.84.1.31,12996
03/07-12:27:53.442915 ,"BAD-TRAFFIC loopback traffic",127.76.190.101,19636,131.84.1.31,22479
03/07-12:27:53.448376 ,"BAD-TRAFFIC loopback traffic",127.133.29.129,19698,131.84.1.31,27629
03/07-12:27:53.493287 ,"BAD-TRAFFIC loopback traffic",127.249.127.4,20166,131.84.1.31,2021
03/07-12:27:53.550225 ,"BAD-TRAFFIC loopback traffic",127.254.70.156,20344,131.84.1.31,21503
03/07-12:27:53.555077 ,"BAD-TRAFFIC loopback traffic",127.165.216.3,20408,131.84.1.31,6783
03/07-12:27:53.561942 ,"BAD-TRAFFIC loopback traffic",127.176.6.213,20506,131.84.1.31,5809
03/07-12:27:53.565944 ,"BAD-TRAFFIC loopback traffic",127.16.127.153,20554,131.84.1.31,9313
03/07-12:27:53.586582 ,"BAD-TRAFFIC loopback traffic",127.53.249.134,20771,131.84.1.31,25787
03/07-12:27:53.596076 ,"BAD-TRAFFIC loopback traffic",127.209.56.205,20833,131.84.1.31,22850
03/07-12:27:53.679540 ,"BAD-TRAFFIC loopback traffic",127.146.215.206,21100,131.84.1.31,22363
03/07-12:27:53.693000 ,"BAD-TRAFFIC loopback traffic",127.152.62.7,21284,131.84.1.31,27756
03/07-12:27:53.694121 ,"BAD-TRAFFIC loopback traffic",127.239.36.89,21300,131.84.1.31,15639
03/07-12:27:53.696780 ,"BAD-TRAFFIC loopback traffic",127.225.63.39,21338,131.84.1.31,28129
03/07-12:27:53.700697 ,"BAD-TRAFFIC loopback traffic",127.179.98.180,21389,131.84.1.31,21434
03/07-12:27:53.704892 ,"BAD-TRAFFIC loopback traffic",127.182.21.240,21449,131.84.1.31,21658
03/07-12:27:53.710397 ,"BAD-TRAFFIC loopback traffic",127.71.160.44,21527,131.84.1.31,29542
03/07-12:27:53.714414 ,"BAD-TRAFFIC loopback traffic",127.227.9.165,21585,131.84.1.31,13208
03/07-12:27:53.766525 ,"BAD-TRAFFIC loopback traffic",127.158.57.191,21720,131.84.1.31,26791
03/07-12:27:53.768128 ,"BAD-TRAFFIC loopback traffic",127.201.162.238,21743,131.84.1.31,25359
03/07-12:27:53.769272 ,"BAD-TRAFFIC loopback traffic",127.229.136.173,21759,131.84.1.31,19229
03/07-12:27:53.794914 ,"BAD-TRAFFIC loopback traffic",127.172.197.211,22113,131.84.1.31,19302
03/07-12:27:53.865776 ,"BAD-TRAFFIC loopback traffic",127.251.221.119,22380,131.84.1.31,5214
03/07-12:27:53.876785 ,"BAD-TRAFFIC loopback traffic",127.101.72.243,22536,131.84.1.31,20888
03/07-12:27:53.879860 ,"BAD-TRAFFIC loopback traffic",127.93.55.203,22580,131.84.1.31,5678
03/07-12:27:53.970192 ,"BAD-TRAFFIC loopback traffic",127.151.88.233,23090,131.84.1.31,18550
03/07-12:27:53.983112 ,"BAD-TRAFFIC loopback traffic",127.231.200.67,23275,131.84.1.31,24528
03/07-12:27:54.044007 ,"BAD-TRAFFIC loopback traffic",127.167.16.113,23593,131.84.1.31,25781
03/07-12:27:54.105756 ,"BAD-TRAFFIC loopback traffic",127.174.104.79,24015,131.84.1.31,7053
03/07-12:27:54.111003 ,"BAD-TRAFFIC loopback traffic",127.202.55.61,24086,131.84.1.31,3258
03/07-12:27:54.143280 ,"BAD-TRAFFIC loopback traffic",127.6.240.245,24320,131.84.1.31,9470
03/07-12:27:54.146070 ,"BAD-TRAFFIC loopback traffic",127.203.23.45,24357,131.84.1.31,24858
03/07-12:27:54.148213 ,"BAD-TRAFFIC loopback traffic",127.83.254.157,24387,131.84.1.31,11957
03/07-12:27:54.164655 ,"BAD-TRAFFIC loopback traffic",127.9.207.77,24450,131.84.1.31,15288
03/07-12:27:54.169486 ,"BAD-TRAFFIC loopback traffic",127.63.82.145,24517,131.84.1.31,2430
03/07-12:27:54.216974 ,"BAD-TRAFFIC loopback traffic",127.25.65.84,24783,131.84.1.31,2616
03/07-12:27:54.222818 ,"BAD-TRAFFIC loopback traffic",127.90.178.70,24864,131.84.1.31,29910
03/07-12:27:54.232652 ,"BAD-TRAFFIC loopback traffic",127.188.12.157,24956,131.84.1.31,15607
03/07-12:27:54.271169 ,"BAD-TRAFFIC loopback traffic",127.124.199.23,25110,131.84.1.31,31367
03/07-12:27:54.277470 ,"BAD-TRAFFIC loopback traffic",127.225.145.192,25198,131.84.1.31,30153
03/07-12:27:54.279356 ,"BAD-TRAFFIC loopback traffic",127.6.176.200,25225,131.84.1.31,14045
03/07-12:27:54.279997 ,"BAD-TRAFFIC loopback traffic",127.151.232.78,25234,131.84.1.31,16375
03/07-12:27:54.314381 ,"BAD-TRAFFIC loopback traffic",127.7.96.78,25470,131.84.1.31,6265
03/07-12:27:54.319728 ,"BAD-TRAFFIC loopback traffic",127.52.53.182,25519,131.84.1.31,4193
03/07-12:27:54.367749 ,"BAD-TRAFFIC loopback traffic",127.232.120.153,25634,131.84.1.31,31835
03/07-12:27:54.368378 ,"BAD-TRAFFIC loopback traffic",127.167.54.113,25643,131.84.1.31,16848
03/07-12:27:54.380964 ,"BAD-TRAFFIC loopback traffic",127.178.89.150,25818,131.84.1.31,14658
03/07-12:27:54.381735 ,"SNMP AgentX/tcp request",54.236.202.91,25829,131.84.1.31,705
03/07-12:27:54.387261 ,"BAD-TRAFFIC loopback traffic",127.65.132.229,25908,131.84.1.31,28316
03/07-12:27:54.393087 ,"BAD-TRAFFIC loopback traffic",127.133.239.20,25989,131.84.1.31,6734
03/07-12:27:54.411233 ,"BAD-TRAFFIC loopback traffic",127.182.246.39,26115,131.84.1.31,11329
03/07-12:27:54.472069 ,"BAD-TRAFFIC loopback traffic",127.57.1.78,26312,131.84.1.31,25344
03/07-12:27:54.489656 ,"BAD-TRAFFIC loopback traffic",127.130.142.248,26561,131.84.1.31,21571
03/07-12:27:54.500020 ,"BAD-TRAFFIC loopback traffic",127.240.11.18,26673,131.84.1.31,2198
03/07-12:27:54.587646 ,"BAD-TRAFFIC loopback traffic",127.158.189.126,27080,131.84.1.31,29337
03/07-12:27:54.598073 ,"BAD-TRAFFIC loopback traffic",127.131.56.206,27229,131.84.1.31,7040
03/07-12:27:54.604581 ,"BAD-TRAFFIC loopback traffic",127.170.84.62,27322,131.84.1.31,4779
03/07-12:27:54.619087 ,"BAD-TRAFFIC loopback traffic",127.248.104.241,27469,131.84.1.31,16785
03/07-12:27:54.665501 ,"BAD-TRAFFIC loopback traffic",127.181.191.132,27565,131.84.1.31,14449
03/07-12:27:54.671677 ,"BAD-TRAFFIC loopback traffic",127.10.18.253,27628,131.84.1.31,29924
03/07-12:27:54.693443 ,"BAD-TRAFFIC loopback traffic",127.195.29.203,27930,131.84.1.31,31611
03/07-12:27:54.703567 ,"BAD-TRAFFIC loopback traffic",127.83.112.140,28011,131.84.1.31,8534
03/07-12:27:54.708605 ,"BAD-TRAFFIC loopback traffic",127.1.52.209,28046,131.84.1.31,27902
03/07-12:27:54.761122 ,"BAD-TRAFFIC loopback traffic",127.128.48.225,28176,131.84.1.31,29338
03/07-12:27:54.761356 ,"BAD-TRAFFIC loopback traffic",127.245.208.190,28179,131.84.1.31,24436
03/07-12:27:54.768311 ,"BAD-TRAFFIC loopback traffic",127.101.188.85,28278,131.84.1.31,13200
03/07-12:27:54.771639 ,"BAD-TRAFFIC loopback traffic",127.200.52.52,28314,131.84.1.31,1738
03/07-12:27:54.783852 ,"BAD-TRAFFIC loopback traffic",127.141.125.122,28481,131.84.1.31,13038
03/07-12:27:54.790528 ,"BAD-TRAFFIC loopback traffic",127.126.227.188,28576,131.84.1.31,8305
03/07-12:27:54.795793 ,"BAD-TRAFFIC loopback traffic",127.82.208.41,28617,131.84.1.31,31614
03/07-12:27:54.796047 ,"BAD-TRAFFIC loopback traffic",127.95.55.83,28619,131.84.1.31,21592
03/07-12:27:54.803371 ,"BAD-TRAFFIC loopback traffic",127.17.236.123,28665,131.84.1.31,24918
03/07-12:27:54.817327 ,"BAD-TRAFFIC loopback traffic",127.126.130.42,28747,131.84.1.31,24402
03/07-12:27:54.822240 ,"BAD-TRAFFIC loopback traffic",127.178.83.188,28779,131.84.1.31,2294
03/07-12:27:54.833124 ,"BAD-TRAFFIC loopback traffic",127.27.152.112,28851,131.84.1.31,3586
03/07-12:27:54.855656 ,"BAD-TRAFFIC loopback traffic",127.8.30.194,28998,131.84.1.31,9701
03/07-12:27:54.955048 ,"BAD-TRAFFIC loopback traffic",127.216.250.80,29290,131.84.1.31,20054
03/07-12:27:54.956107 ,"BAD-TRAFFIC loopback traffic",127.45.128.194,29305,131.84.1.31,16671
03/07-12:27:54.990396 ,"BAD-TRAFFIC loopback traffic",127.63.92.55,29763,131.84.1.31,6160
03/07-12:27:54.994070 ,"BAD-TRAFFIC loopback traffic",127.219.9.179,29813,131.84.1.31,11679
03/07-12:27:54.996240 ,"BAD-TRAFFIC loopback traffic",127.255.33.30,29844,131.84.1.31,21142
03/07-12:27:55.002529 ,"BAD-TRAFFIC loopback traffic",127.162.76.116,29924,131.84.1.31,425
03/07-12:27:55.040605 ,"BAD-TRAFFIC loopback traffic",127.84.81.30,29952,131.84.1.31,6823
03/07-12:27:55.049895 ,"BAD-TRAFFIC loopback traffic",127.53.238.16,30075,131.84.1.31,2911
03/07-12:27:55.067731 ,"BAD-TRAFFIC loopback traffic",127.47.4.135,30327,131.84.1.31,32537
03/07-12:27:55.105106 ,"BAD-TRAFFIC loopback traffic",127.233.20.35,30526,131.84.1.31,26324
03/07-12:27:55.124513 ,"BAD-TRAFFIC loopback traffic",127.158.251.150,30724,131.84.1.31,15345
03/07-12:27:55.160028 ,"BAD-TRAFFIC loopback traffic",127.44.207.213,30825,131.84.1.31,6300
03/07-12:27:55.182338 ,"BAD-TRAFFIC loopback traffic",127.123.78.74,31095,131.84.1.31,12618
03/07-12:27:55.216390 ,"BAD-TRAFFIC loopback traffic",127.124.106.160,31184,131.84.1.31,27853
03/07-12:27:55.221218 ,"BAD-TRAFFIC loopback traffic",127.24.80.232,31253,131.84.1.31,24826
03/07-12:27:55.224814 ,"BAD-TRAFFIC loopback traffic",127.64.83.204,31297,131.84.1.31,3913
03/07-12:27:55.228367 ,"BAD-TRAFFIC loopback traffic",127.126.211.251,31342,131.84.1.31,30367
03/07-12:27:55.234279 ,"BAD-TRAFFIC loopback traffic",127.57.94.240,31427,131.84.1.31,7805
03/07-12:27:55.244000 ,"BAD-TRAFFIC loopback traffic",127.72.166.133,31500,131.84.1.31,6409
03/07-12:27:55.280865 ,"BAD-TRAFFIC loopback traffic",127.135.253.127,31720,131.84.1.31,2411
03/07-12:27:55.296238 ,"BAD-TRAFFIC loopback traffic",127.209.174.52,31767,131.84.1.31,14818
03/07-12:27:55.297816 ,"BAD-TRAFFIC loopback traffic",127.101.59.58,31785,131.84.1.31,20453
03/07-12:27:55.300976 ,"BAD-TRAFFIC loopback traffic",127.81.75.253,31821,131.84.1.31,6840
03/07-12:27:55.313367 ,"BAD-TRAFFIC loopback traffic",127.174.111.194,31930,131.84.1.31,16076
03/07-12:27:55.346327 ,"BAD-TRAFFIC loopback traffic",127.146.182.136,32062,131.84.1.31,12176
03/07-12:27:55.358986 ,"BAD-TRAFFIC loopback traffic",127.103.170.64,32227,131.84.1.31,14687
03/07-12:27:55.463820 ,"BAD-TRAFFIC loopback traffic",127.183.79.123,32797,131.84.1.31,15250
03/07-12:27:55.473304 ,"BAD-TRAFFIC loopback traffic",127.3.250.154,32924,131.84.1.31,12756
03/07-12:27:55.476030 ,"BAD-TRAFFIC loopback traffic",127.207.199.133,32959,131.84.1.31,27752
03/07-12:27:55.481935 ,"BAD-TRAFFIC loopback traffic",127.58.74.237,33018,131.84.1.31,5588
03/07-12:27:55.484147 ,"BAD-TRAFFIC loopback traffic",127.108.202.5,33034,131.84.1.31,6547
03/07-12:27:55.497870 ,"BAD-TRAFFIC loopback traffic",127.91.197.133,33123,131.84.1.31,30949
03/07-12:27:55.551868 ,"BAD-TRAFFIC loopback traffic",127.45.73.200,33403,131.84.1.31,4093
03/07-12:27:55.554316 ,"BAD-TRAFFIC loopback traffic",127.112.96.165,33438,131.84.1.31,24405
03/07-12:27:55.556836 ,"BAD-TRAFFIC loopback traffic",127.233.155.222,33474,131.84.1.31,25833
03/07-12:27:55.600240 ,"BAD-TRAFFIC loopback traffic",127.128.218.210,33702,131.84.1.31,8185
03/07-12:27:55.600454 ,"BAD-TRAFFIC tcp port 0 traffic",115.166.137.80,33705,131.84.1.31,0
03/07-12:27:55.608850 ,"BAD-TRAFFIC loopback traffic",127.253.37.56,33825,131.84.1.31,852
03/07-12:27:55.636867 ,"BAD-TRAFFIC loopback traffic",127.15.221.243,33948,131.84.1.31,22484
03/07-12:27:55.639968 ,"BAD-TRAFFIC loopback traffic",127.205.151.139,33992,131.84.1.31,19252
03/07-12:27:55.645378 ,"BAD-TRAFFIC loopback traffic",127.103.205.2,34069,131.84.1.31,28856
03/07-12:27:55.666253 ,"SNMP AgentX/tcp request",40.150.29.185,34203,131.84.1.31,705
03/07-12:27:55.682456 ,"BAD-TRAFFIC loopback traffic",127.119.234.29,34258,131.84.1.31,12442
03/07-12:27:55.692430 ,"BAD-TRAFFIC loopback traffic",127.136.243.202,34385,131.84.1.31,17717
03/07-12:27:55.713509 ,"BAD-TRAFFIC loopback traffic",127.58.6.11,34526,131.84.1.31,17051
03/07-12:27:55.738639 ,"BAD-TRAFFIC loopback traffic",127.215.166.74,34589,131.84.1.31,20333
03/07-12:27:55.747828 ,"BAD-TRAFFIC loopback traffic",127.229.65.23,34719,131.84.1.31,27919
03/07-12:27:55.752655 ,"BAD-TRAFFIC loopback traffic",127.85.42.211,34780,131.84.1.31,21442
03/07-12:27:55.762682 ,"BAD-TRAFFIC loopback traffic",127.114.55.56,34843,131.84.1.31,13720
03/07-12:27:55.805444 ,"BAD-TRAFFIC loopback traffic",127.31.65.41,35046,131.84.1.31,19363
03/07-12:27:55.806349 ,"SNMP AgentX/tcp request",34.5.17.249,35059,131.84.1.31,705
03/07-12:27:55.808874 ,"BAD-TRAFFIC loopback traffic",127.189.86.37,35095,131.84.1.31,30286
03/07-12:27:55.868708 ,"BAD-TRAFFIC loopback traffic",127.95.53.41,35388,131.84.1.31,18102
03/07-12:27:55.878616 ,"BAD-TRAFFIC loopback traffic",127.57.200.92,35523,131.84.1.31,28168
03/07-12:27:55.893083 ,"BAD-TRAFFIC loopback traffic",127.51.156.49,35682,131.84.1.31,31336
03/07-12:27:55.933786 ,"BAD-TRAFFIC loopback traffic",127.208.116.187,35827,131.84.1.31,26714
03/07-12:27:55.947836 ,"BAD-TRAFFIC loopback traffic",127.170.91.190,36016,131.84.1.31,4149
03/07-12:27:55.964706 ,"BAD-TRAFFIC loopback traffic",127.205.200.56,36141,131.84.1.31,13493
03/07-12:27:55.966513 ,"BAD-TRAFFIC loopback traffic",127.166.85.67,36152,131.84.1.31,20504
03/07-12:27:56.007891 ,"BAD-TRAFFIC loopback traffic",127.168.146.83,36328,131.84.1.31,2487
03/07-12:27:56.058768 ,"BAD-TRAFFIC loopback traffic",127.15.11.159,36600,131.84.1.31,4915
