"1","2000-03-07 08:26:15","202.77.162.213","172.16.115.20","Tidak menggunakan ICMP","Tidak menggunakan ICMP","49212","23","Tidak menggunakan UDP","Tidak menggunakan UDP","INFO TELNET access","not-suspicious"
"22","2000-03-07 08:27:51","131.84.1.31","127.92.241.180","Tidak menggunakan ICMP","Tidak menggunakan ICMP","17060","8001","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"23","2000-03-07 08:27:51","131.84.1.31","127.128.29.187","Tidak menggunakan ICMP","Tidak menggunakan ICMP","17962","8121","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"24","2000-03-07 08:27:51","131.84.1.31","127.188.166.40","Tidak menggunakan ICMP","Tidak menggunakan ICMP","16616","8298","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"25","2000-03-07 08:27:51","131.84.1.31","127.55.231.189","Tidak menggunakan ICMP","Tidak menggunakan ICMP","31001","8331","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"26","2000-03-07 08:27:51","131.84.1.31","127.206.80.43","Tidak menggunakan ICMP","Tidak menggunakan ICMP","32706","8540","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"27","2000-03-07 08:27:51","131.84.1.31","127.27.221.200","Tidak menggunakan ICMP","Tidak menggunakan ICMP","28578","8619","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"28","2000-03-07 08:27:51","131.84.1.31","127.216.79.142","Tidak menggunakan ICMP","Tidak menggunakan ICMP","30159","8719","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"29","2000-03-07 08:27:51","131.84.1.31","127.215.109.89","Tidak menggunakan ICMP","Tidak menggunakan ICMP","10284","8820","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"30","2000-03-07 08:27:51","131.84.1.31","127.253.138.217","Tidak menggunakan ICMP","Tidak menggunakan ICMP","8687","9145","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"31","2000-03-07 08:27:51","131.84.1.31","127.18.156.189","Tidak menggunakan ICMP","Tidak menggunakan ICMP","12354","9527","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"32","2000-03-07 08:27:51","131.84.1.31","127.213.240.223","Tidak menggunakan ICMP","Tidak menggunakan ICMP","21574","9863","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"33","2000-03-07 08:27:51","131.84.1.31","127.46.215.94","Tidak menggunakan ICMP","Tidak menggunakan ICMP","25890","9951","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"34","2000-03-07 08:27:51","131.84.1.31","127.123.199.165","Tidak menggunakan ICMP","Tidak menggunakan ICMP","17994","9974","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"35","2000-03-07 08:27:51","131.84.1.31","127.158.106.174","Tidak menggunakan ICMP","Tidak menggunakan ICMP","7508","10124","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"36","2000-03-07 08:27:51","131.84.1.31","127.178.187.191","Tidak menggunakan ICMP","Tidak menggunakan ICMP","25462","10189","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"37","2000-03-07 08:27:51","131.84.1.31","127.63.18.28","Tidak menggunakan ICMP","Tidak menggunakan ICMP","14698","10236","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"38","2000-03-07 08:27:51","131.84.1.31","127.151.103.195","Tidak menggunakan ICMP","Tidak menggunakan ICMP","20967","10305","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"39","2000-03-07 08:27:51","131.84.1.31","127.252.59.29","Tidak menggunakan ICMP","Tidak menggunakan ICMP","1373","10429","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"40","2000-03-07 08:27:52","131.84.1.31","127.56.168.10","Tidak menggunakan ICMP","Tidak menggunakan ICMP","29729","10553","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"41","2000-03-07 08:27:52","131.84.1.31","127.181.150.111","Tidak menggunakan ICMP","Tidak menggunakan ICMP","18437","10684","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"42","2000-03-07 08:27:52","131.84.1.31","127.115.146.28","Tidak menggunakan ICMP","Tidak menggunakan ICMP","16680","10711","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"43","2000-03-07 08:27:52","131.84.1.31","127.217.194.25","Tidak menggunakan ICMP","Tidak menggunakan ICMP","2316","10843","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"44","2000-03-07 08:27:52","131.84.1.31","127.18.23.74","Tidak menggunakan ICMP","Tidak menggunakan ICMP","24046","10923","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"45","2000-03-07 08:27:52","131.84.1.31","127.156.118.203","Tidak menggunakan ICMP","Tidak menggunakan ICMP","18819","10936","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"46","2000-03-07 08:27:52","131.84.1.31","127.250.11.107","Tidak menggunakan ICMP","Tidak menggunakan ICMP","31604","11009","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"47","2000-03-07 08:27:52","131.84.1.31","127.251.104.41","Tidak menggunakan ICMP","Tidak menggunakan ICMP","9326","11353","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"48","2000-03-07 08:27:52","131.84.1.31","127.239.178.130","Tidak menggunakan ICMP","Tidak menggunakan ICMP","24956","11872","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"49","2000-03-07 08:27:52","131.84.1.31","127.46.76.45","Tidak menggunakan ICMP","Tidak menggunakan ICMP","23910","11914","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"50","2000-03-07 08:27:52","131.84.1.31","127.200.235.93","Tidak menggunakan ICMP","Tidak menggunakan ICMP","11136","11949","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"51","2000-03-07 08:27:52","131.84.1.31","127.132.146.1","Tidak menggunakan ICMP","Tidak menggunakan ICMP","10141","12016","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"52","2000-03-07 08:27:52","131.84.1.31","127.199.114.41","Tidak menggunakan ICMP","Tidak menggunakan ICMP","3799","12055","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"53","2000-03-07 08:27:52","131.84.1.31","127.173.197.242","Tidak menggunakan ICMP","Tidak menggunakan ICMP","19344","12149","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"54","2000-03-07 08:27:52","131.84.1.31","127.242.201.4","Tidak menggunakan ICMP","Tidak menggunakan ICMP","13783","12283","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"55","2000-03-07 08:27:52","131.84.1.31","127.162.68.107","Tidak menggunakan ICMP","Tidak menggunakan ICMP","29474","12339","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"56","2000-03-07 08:27:52","131.84.1.31","127.58.58.158","Tidak menggunakan ICMP","Tidak menggunakan ICMP","6585","12384","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"57","2000-03-07 08:27:52","131.84.1.31","127.121.248.50","Tidak menggunakan ICMP","Tidak menggunakan ICMP","26092","12548","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"58","2000-03-07 08:27:52","131.84.1.31","127.163.207.67","Tidak menggunakan ICMP","Tidak menggunakan ICMP","16129","12658","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"59","2000-03-07 08:27:52","131.84.1.31","127.194.48.58","Tidak menggunakan ICMP","Tidak menggunakan ICMP","31135","12793","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"60","2000-03-07 08:27:52","131.84.1.31","127.73.5.157","Tidak menggunakan ICMP","Tidak menggunakan ICMP","27932","12910","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"61","2000-03-07 08:27:52","131.84.1.31","127.222.46.206","Tidak menggunakan ICMP","Tidak menggunakan ICMP","26646","13015","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"62","2000-03-07 08:27:52","131.84.1.31","127.176.23.127","Tidak menggunakan ICMP","Tidak menggunakan ICMP","327","13042","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"63","2000-03-07 08:27:52","131.84.1.31","127.246.172.20","Tidak menggunakan ICMP","Tidak menggunakan ICMP","19410","13044","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"64","2000-03-07 08:27:52","131.84.1.31","127.124.163.220","Tidak menggunakan ICMP","Tidak menggunakan ICMP","23688","13143","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"65","2000-03-07 08:27:52","131.84.1.31","127.70.121.88","Tidak menggunakan ICMP","Tidak menggunakan ICMP","2331","13367","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"66","2000-03-07 08:27:52","131.84.1.31","127.126.232.50","Tidak menggunakan ICMP","Tidak menggunakan ICMP","12975","13569","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"67","2000-03-07 08:27:52","131.84.1.31","127.39.226.157","Tidak menggunakan ICMP","Tidak menggunakan ICMP","27247","13682","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"68","2000-03-07 08:27:52","131.84.1.31","127.196.247.163","Tidak menggunakan ICMP","Tidak menggunakan ICMP","7304","13717","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"69","2000-03-07 08:27:52","131.84.1.31","127.93.87.245","Tidak menggunakan ICMP","Tidak menggunakan ICMP","24210","13962","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"70","2000-03-07 08:27:52","131.84.1.31","127.146.131.2","Tidak menggunakan ICMP","Tidak menggunakan ICMP","16815","14054","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"71","2000-03-07 08:27:52","131.84.1.31","127.209.192.254","Tidak menggunakan ICMP","Tidak menggunakan ICMP","31176","14055","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"72","2000-03-07 08:27:52","131.84.1.31","127.147.17.4","Tidak menggunakan ICMP","Tidak menggunakan ICMP","13069","14111","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"73","2000-03-07 08:27:52","131.84.1.31","127.255.137.73","Tidak menggunakan ICMP","Tidak menggunakan ICMP","16197","14187","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"74","2000-03-07 08:27:52","131.84.1.31","127.37.0.104","Tidak menggunakan ICMP","Tidak menggunakan ICMP","32677","14215","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"75","2000-03-07 08:27:52","131.84.1.31","127.36.137.177","Tidak menggunakan ICMP","Tidak menggunakan ICMP","766","14218","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"76","2000-03-07 08:27:52","131.84.1.31","127.117.86.95","Tidak menggunakan ICMP","Tidak menggunakan ICMP","22783","14397","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"77","2000-03-07 08:27:52","131.84.1.31","127.56.59.71","Tidak menggunakan ICMP","Tidak menggunakan ICMP","32339","14604","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"78","2000-03-07 08:27:52","131.84.1.31","127.225.65.151","Tidak menggunakan ICMP","Tidak menggunakan ICMP","7012","14834","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"79","2000-03-07 08:27:52","131.84.1.31","127.170.13.55","Tidak menggunakan ICMP","Tidak menggunakan ICMP","2941","14859","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"80","2000-03-07 08:27:52","131.84.1.31","127.36.161.3","Tidak menggunakan ICMP","Tidak menggunakan ICMP","706","15235","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"81","2000-03-07 08:27:52","131.84.1.31","127.29.227.152","Tidak menggunakan ICMP","Tidak menggunakan ICMP","25083","15334","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"82","2000-03-07 08:27:52","131.84.1.31","127.159.196.122","Tidak menggunakan ICMP","Tidak menggunakan ICMP","12310","15519","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"83","2000-03-07 08:27:52","131.84.1.31","127.28.176.147","Tidak menggunakan ICMP","Tidak menggunakan ICMP","25021","15578","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"84","2000-03-07 08:27:52","131.84.1.31","127.32.2.12","Tidak menggunakan ICMP","Tidak menggunakan ICMP","19247","15903","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"85","2000-03-07 08:27:52","131.84.1.31","127.74.118.57","Tidak menggunakan ICMP","Tidak menggunakan ICMP","16904","15940","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"86","2000-03-07 08:27:52","131.84.1.31","127.137.249.48","Tidak menggunakan ICMP","Tidak menggunakan ICMP","25020","16098","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"87","2000-03-07 08:27:52","131.84.1.31","127.9.41.102","Tidak menggunakan ICMP","Tidak menggunakan ICMP","25699","16198","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"88","2000-03-07 08:27:52","131.84.1.31","127.210.47.130","Tidak menggunakan ICMP","Tidak menggunakan ICMP","8508","16238","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"89","2000-03-07 08:27:52","131.84.1.31","127.138.253.236","Tidak menggunakan ICMP","Tidak menggunakan ICMP","3070","16285","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"90","2000-03-07 08:27:52","131.84.1.31","127.174.185.10","Tidak menggunakan ICMP","Tidak menggunakan ICMP","19981","16592","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"91","2000-03-07 08:27:52","131.84.1.31","127.25.81.85","Tidak menggunakan ICMP","Tidak menggunakan ICMP","2467","16658","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"92","2000-03-07 08:27:53","131.84.1.31","127.120.203.199","Tidak menggunakan ICMP","Tidak menggunakan ICMP","29123","16994","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"93","2000-03-07 08:27:53","131.84.1.31","127.251.21.74","Tidak menggunakan ICMP","Tidak menggunakan ICMP","2205","17048","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"94","2000-03-07 08:27:53","131.84.1.31","127.26.57.119","Tidak menggunakan ICMP","Tidak menggunakan ICMP","30722","17107","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"95","2000-03-07 08:27:53","131.84.1.31","127.108.35.16","Tidak menggunakan ICMP","Tidak menggunakan ICMP","23652","17118","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"96","2000-03-07 08:27:53","131.84.1.31","127.85.80.227","Tidak menggunakan ICMP","Tidak menggunakan ICMP","23770","17231","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"97","2000-03-07 08:27:53","131.84.1.31","127.192.161.239","Tidak menggunakan ICMP","Tidak menggunakan ICMP","1608","17304","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"98","2000-03-07 08:27:53","131.84.1.31","127.131.174.109","Tidak menggunakan ICMP","Tidak menggunakan ICMP","17197","17384","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"99","2000-03-07 08:27:53","131.84.1.31","127.239.238.27","Tidak menggunakan ICMP","Tidak menggunakan ICMP","7667","17498","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"100","2000-03-07 08:27:53","131.84.1.31","127.17.140.53","Tidak menggunakan ICMP","Tidak menggunakan ICMP","7584","17866","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"101","2000-03-07 08:27:53","131.84.1.31","127.235.170.134","Tidak menggunakan ICMP","Tidak menggunakan ICMP","29204","17900","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"102","2000-03-07 08:27:53","131.84.1.31","127.49.226.212","Tidak menggunakan ICMP","Tidak menggunakan ICMP","7848","18360","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"103","2000-03-07 08:27:53","131.84.1.31","127.89.85.1","Tidak menggunakan ICMP","Tidak menggunakan ICMP","7796","18366","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"104","2000-03-07 08:27:53","131.84.1.31","127.19.105.226","Tidak menggunakan ICMP","Tidak menggunakan ICMP","9939","18525","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"105","2000-03-07 08:27:53","131.84.1.31","127.208.99.175","Tidak menggunakan ICMP","Tidak menggunakan ICMP","29151","18566","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"106","2000-03-07 08:27:53","131.84.1.31","127.11.162.236","Tidak menggunakan ICMP","Tidak menggunakan ICMP","17276","18574","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"107","2000-03-07 08:27:53","131.84.1.31","127.64.47.105","Tidak menggunakan ICMP","Tidak menggunakan ICMP","22138","18647","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"108","2000-03-07 08:27:53","131.84.1.31","127.217.253.12","Tidak menggunakan ICMP","Tidak menggunakan ICMP","21893","18650","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"109","2000-03-07 08:27:53","131.84.1.31","127.213.104.194","Tidak menggunakan ICMP","Tidak menggunakan ICMP","29457","18679","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"110","2000-03-07 08:27:53","131.84.1.31","127.233.163.95","Tidak menggunakan ICMP","Tidak menggunakan ICMP","26535","18724","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"111","2000-03-07 08:27:53","131.84.1.31","127.140.92.160","Tidak menggunakan ICMP","Tidak menggunakan ICMP","32283","19206","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"112","2000-03-07 08:27:53","131.84.1.31","127.123.238.178","Tidak menggunakan ICMP","Tidak menggunakan ICMP","30270","19342","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"113","2000-03-07 08:27:53","131.84.1.31","127.35.184.38","Tidak menggunakan ICMP","Tidak menggunakan ICMP","12996","19390","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"114","2000-03-07 08:27:53","131.84.1.31","127.76.190.101","Tidak menggunakan ICMP","Tidak menggunakan ICMP","22479","19636","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"115","2000-03-07 08:27:53","131.84.1.31","127.133.29.129","Tidak menggunakan ICMP","Tidak menggunakan ICMP","27629","19698","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"116","2000-03-07 08:27:53","131.84.1.31","127.249.127.4","Tidak menggunakan ICMP","Tidak menggunakan ICMP","2021","20166","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
"117","2000-03-07 08:27:53","131.84.1.31","127.254.70.156","Tidak menggunakan ICMP","Tidak menggunakan ICMP","21503","20344","Tidak menggunakan UDP","Tidak menggunakan UDP","BAD-TRAFFIC loopback traffic","bad-unknown"
